0  0.000  0.000
1  0.402 -3.458
2 -7.109 -6.363
3  9.418  5.880
4 -6.219 -6.439
5  9.380  9.318
6 -5.523 -7.451
7  9.139  0.579
8 -2.985  7.011
9 -8.475 -4.578
10 -7.731  7.409
11 -9.853  3.676
12 -4.339  3.263
13 -8.243  3.928
14  5.889 -8.397
15  9.544 -9.925
16 -4.591  3.016
17 -0.644  8.275
18 -0.741 -3.629
19 -7.915 -8.234
20  5.051 -0.631
21 -2.519  5.263
22  2.076  5.155
23  7.336 -4.226
24 -7.721 -0.208
25 -9.806 -4.319
26 -1.428  0.653
27  0.071  7.405
28 -8.814 -4.170
29 -4.790  9.465
30 -6.058 -1.790
31 -2.651  2.336
32  9.352  2.900
33  4.425 -5.034
34 -2.765 -7.182
35 -7.036 -6.967
36 -1.306 -7.478
37  0.000  0.000
