../instances/dataset/a/a4-16-0.7.txt
0 0 0
1 6.267 0.981
2 -4.718 6.925
3 3.254 7.621
4 9.654 2.799
5 8.575 2.701
6 -9.732 -8.314
7 9.937 4.969
8 -4.604 6.053
9 -5.029 5.07
10 -9.264 -7.979
11 8.738 -9.966
12 -3.42 7.617
13 -5.865 -4.571
14 6.3 5.322
15 -2.219 -7.605
16 -1.654 -7.838
17 -1.548 -4.124
18 -4.818 6.259
19 -7.389 0.376
20 6.07 -0.549
21 -1.663 6.171
22 -0.665 -1.272
23 -5.005 0.918
24 6.2 -7.679
25 5.575 -7.408
26 -7.754 3.535
27 2.111 1.439
28 1.706 -1.733
29 -1.796 9.104
30 -5.5 2.353
31 7.323 -7.149
32 -6.413 0.367
33 0 0
34 0 0
35 -4 -4
36 4 4
